계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,202601
인건비,인건비,55010105,복리후생비_의료보험,F01800,공통_소비자전략팀,728340.0
인건비,인건비,55010105,복리후생비_의료보험,F02300,공통_안전보건팀,352570.0
인건비,인건비,55010105,복리후생비_의료보험,F02400,공통_경영기획팀,2133340.0
인건비,인건비,55010105,복리후생비_의료보험,F02500,공통_자금팀,1876540.0
인건비,인건비,55010105,복리후생비_의료보험,F02600,공통_정보보안팀,1414440.0
인건비,인건비,55010105,복리후생비_의료보험,F02900,공통_AX팀,4136050.0
인건비,인건비,55010105,복리후생비_의료보험,F03000,공통_AI 엔지니어링팀,1709230.0
인건비,인건비,55010105,복리후생비_의료보험,F03200,공통_PI팀,594770.0
인건비,인건비,55010105,복리후생비_의료보험,F03300,공통_무역팀,1887140.0
인건비,인건비,55010105,복리후생비_의료보험,F03400,공통_자산관리팀,766070.0
인건비,인건비,55010105,복리후생비_의료보험,F03700,공통_통합인테리어팀,1328650.0
인건비,인건비,55010105,복리후생비_의료보험,F03900,공통_퍼포먼스마케팅팀,2385450.0
인건비,인건비,55010105,복리후생비_의료보험,F04400,공통_통합영업팀,1146750.0
인건비,인건비,55010105,복리후생비_의료보험,F04500,공통_통합소싱팀,3223340.0
인건비,인건비,55010105,복리후생비_의료보험,F04800,공통_해외사업팀,2357420.0
인건비,인건비,55010105,복리후생비_의료보험,F05100,공통_마케팅본부,9348460.0
인건비,인건비,55010105,복리후생비_의료보험,F05200,공통_통합온라인채널팀,1031140.0
인건비,인건비,55010107,복리후생비_고용보험,F00100,공통_임원,2807341.0
인건비,인건비,55010107,복리후생비_고용보험,F00200,공통_경영개선팀,402433.0
인건비,인건비,55010107,복리후생비_고용보험,F00300,공통_총무,1238518.0
인건비,인건비,55010107,복리후생비_고용보험,F00400,공통_법무팀,718018.0
인건비,인건비,55010107,복리후생비_고용보험,F00500,공통_HR팀,1082440.0
인건비,인건비,55010107,복리후생비_고용보험,F00600,공통_공간기획팀,611256.0
인건비,인건비,55010107,복리후생비_고용보험,F00700,공통_회계팀,1002296.0
인건비,인건비,55010107,복리후생비_고용보험,F00800,공통_경영관리팀,1571620.0
인건비,인건비,55010107,복리후생비_고용보험,F01200,공통_e-BIZ팀,1083786.0
인건비,인건비,55010107,복리후생비_고용보험,F01300,공통_IT팀,4853767.0
인건비,인건비,55010107,복리후생비_고용보험,F01800,공통_소비자전략팀,257718.0
인건비,인건비,55010107,복리후생비_고용보험,F02300,공통_안전보건팀,132380.0
인건비,인건비,55010107,복리후생비_고용보험,F02400,공통_경영기획팀,691248.0
인건비,인건비,55010107,복리후생비_고용보험,F02500,공통_자금팀,731841.0
인건비,인건비,55010107,복리후생비_고용보험,F02600,공통_정보보안팀,527720.0
인건비,인건비,55010107,복리후생비_고용보험,F02900,공통_AX팀,1299020.0
인건비,인건비,55010107,복리후생비_고용보험,F03000,공통_AI 엔지니어링팀,665526.0
인건비,인건비,55010107,복리후생비_고용보험,F03200,공통_PI팀,204765.0
인건비,인건비,55010107,복리후생비_고용보험,F03300,공통_무역팀,642307.0
인건비,인건비,55010107,복리후생비_고용보험,F03400,공통_자산관리팀,295995.0
인건비,인건비,55010107,복리후생비_고용보험,F03700,공통_통합인테리어팀,290827.0
인건비,인건비,55010107,복리후생비_고용보험,F03900,공통_퍼포먼스마케팅팀,898895.0
인건비,인건비,55010107,복리후생비_고용보험,F04400,공통_통합영업팀,592253.0
인건비,인건비,55010107,복리후생비_고용보험,F04500,공통_통합소싱팀,1019336.0
인건비,인건비,55010107,복리후생비_고용보험,F04800,공통_해외사업팀,847921.0
인건비,인건비,55010107,복리후생비_고용보험,F05100,공통_마케팅본부,2843737.0
인건비,인건비,55010107,복리후생비_고용보험,F05200,공통_통합온라인채널팀,389402.0
인건비,인건비,55010129,복리후생비_산재보험,F00100,공통_임원,1496066.0
인건비,인건비,55010129,복리후생비_산재보험,F00200,공통_경영개선팀,214461.0
인건비,인건비,55010129,복리후생비_산재보험,F00300,공통_총무,565625.0
인건비,인건비,55010129,복리후생비_산재보험,F00400,공통_법무팀,477035.0
인건비,인건비,55010129,복리후생비_산재보험,F00500,공통_HR팀,576844.0
인건비,인건비,55010129,복리후생비_산재보험,F00600,공통_공간기획팀,325745.0
인건비,인건비,55010129,복리후생비_산재보험,F00700,공통_회계팀,534135.0
인건비,인건비,55010129,복리후생비_산재보험,F00800,공통_경영관리팀,837534.0
인건비,인건비,55010129,복리후생비_산재보험,F01200,공통_e-BIZ팀,577561.0
인건비,인건비,55010129,복리후생비_산재보험,F01300,공통_IT팀,2566031.0
인건비,인건비,55010129,복리후생비_산재보험,F01800,공통_소비자전략팀,137341.0
인건비,인건비,55010129,복리후생비_산재보험,F02300,공통_안전보건팀,70546.0
인건비,인건비,55010129,복리후생비_산재보험,F02400,공통_경영기획팀,368373.0
인건비,인건비,55010129,복리후생비_산재보험,F02500,공통_자금팀,390006.0
